"ISO3","Country","Year","Survey","Indicator","Admin","Region_Name","Mean","Median","Lower_CI","Upper_CI","Width_90_CI","Coefficient_of_Variation"
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Kilimanjaro_Moshi Urban",0.5728,0.5713,0.4853,0.6614,0.1761,0.1296
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Kilimanjaro_Mwanga",0.5299,0.5279,0.4487,0.6178,0.169,0.1091
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Kilimanjaro_Rombo",0.529,0.5282,0.4414,0.6182,0.1768,0.1154
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Kilimanjaro_Same",0.522,0.5241,0.4281,0.6149,0.1867,0.1181
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Kilimanjaro_Siha",0.4788,0.4765,0.3242,0.6442,0.32,0.2024
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Kusini Pemba_Chake",0.8309,0.8307,0.7964,0.8634,0.06702,0.1231
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Kusini Pemba_Mkoani",0.833,0.8374,0.746,0.9041,0.158,0.3045
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Kusini Unguja_Kati",0.6515,0.6532,0.581,0.7241,0.1431,0.126
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Kusini Unguja_Kusini",0.7077,0.709,0.6453,0.7637,0.1184,0.1247
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Lindi_Kilwa",0.6037,0.6031,0.5651,0.6428,0.07769,0.05988
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Lindi_Lindi Rural",0.8262,0.8284,0.7535,0.8898,0.1364,0.2371
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Lindi_Lindi Urban",0.7672,0.7772,0.6413,0.8673,0.226,0.3182
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Lindi_Liwale",0.715,0.716,0.6209,0.7945,0.1737,0.185
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Lindi_Nachingwea",0.8168,0.8263,0.6917,0.9095,0.2179,0.3942
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Lindi_Ruangwa",0.8452,0.8527,0.7455,0.9194,0.1739,0.3637
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Manyara_Babati",0.5783,0.5802,0.4618,0.6899,0.2282,0.1699
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Manyara_Babati Urban",0.6401,0.6408,0.5925,0.6866,0.0941,0.08026
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Manyara_Hanang",0.4685,0.4716,0.288,0.6425,0.3545,0.2244
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Manyara_Kiteto",0.4002,0.398,0.2774,0.5304,0.253,0.1928
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Manyara_Lake Manyara",0.4746,0.4711,0.2763,0.6823,0.406,0.265
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Manyara_Mbulu",0.3664,0.363,0.2732,0.4654,0.1922,0.1632
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Manyara_Simanjiro",0.4103,0.4048,0.2974,0.5454,0.2481,0.1856
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Mara_Bunda",0.7628,0.7646,0.7216,0.7989,0.07722,0.09921
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Mara_Butiama",0.6272,0.6289,0.5508,0.6953,0.1445,0.1182
